Participant,Experiment,Stimulus,Saccade_Frequency,Avg_Saccade_Duration,Avg_Gaze_Deviation,Avg_Fixation_Deviation,Avg_Saccade_Deviation
13,22,01 coucou g.jpg,0.1506849315068493,43.773599999863606,330.4773384635232,320.3942590212005,390.015521837238
21,22,01 coucou g.jpg,0.7903225806451613,324.9026666665451,444.436571854366,475.7167693695671,383.37189527490847
48,22,01 coucou g.jpg,0.0476190476190476,29.9069999999993,216.23780117240105,214.61843532422935,248.35522382780653
36,22,01 coucou g.jpg,0.2037716081718177,89.85242857146555,168.60952511778532,143.99565301116803,228.14202215425888
49,22,01 coucou g.jpg,0.2093023255813953,67.12099999981001,390.21679983861753,301.19495924414883,544.7779584943597
17,22,01 coucou g.jpg,0.1586206896551724,50.813888888599145,0.0,0.0,0.0
32,22,01 coucou g.jpg,0.2311062431544359,109.20693069308192,116.85019189073124,104.92146291019029,152.6797848524066
47,22,01 coucou g.jpg,0.1353135313531353,93.36897590370398,120.9936545632326,108.61173586729568,189.14759311278328
35,22,01 coucou g.jpg,0.2320261437908496,105.1865130434765,132.21657917736403,107.72812161897795,187.91509102216926
14,22,01 coucou g.jpg,0.1363636363636363,49.72616666667951,242.76039867434804,222.05547823429728,199.37250580284714
40,22,01 coucou g.jpg,0.2424377224199288,100.2934130433594,123.9535702523255,110.14076537206745,161.787529474953
18,22,01 coucou g.jpg,0.1709401709401709,53.47775000007823,298.8223128185629,263.25042064490646,254.06602885648311
15,22,01 coucou g.jpg,0.0,0.0,0.0,0.0,0.0
38,22,01 coucou g.jpg,0.200339558573854,102.89571014497476,144.73980897894725,123.6187011260631,175.40916993565017
43,22,01 coucou g.jpg,0.1594202898550724,48.59466666655816,265.8354623291811,248.53770254531207,307.03506884116337
42,22,01 coucou g.jpg,0.0423728813559322,33.21066666673869,164.00834299656864,157.36251575950283,311.51493527105674
28,22,01 coucou g.jpg,0.1864406779661017,43.77240000003949,293.442795676589,319.98438632096304,181.79511232249416
