RecordingTime [ms],Participant,Stimulus,Category Right,Category Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Experiment,RecordingTime Stimulus [ms],Duration,SnappedTime,Gaze Deviation Right,Gaze Deviation Left,Overall Gaze Deviation
0.0,48,01 coucou g.jpg,Fixation,Fixation,494.1155,547.319,494.1155,547.319,22,0.0,19.879999999975556,0.0,285.59337752121723,285.59337752121723,285.59337752121723
19.879999999975556,48,01 coucou g.jpg,Fixation,Fixation,495.1723,549.095,495.1723,549.095,22,19.879999999975556,19.877000000007683,20.0,210.15209245419302,210.15209245419302,210.15209245419302
39.75699999998324,48,01 coucou g.jpg,Fixation,Fixation,492.1931,558.9531,492.1931,558.9531,22,39.75699999998324,19.869999999995343,40.0,317.19939103605066,317.19939103605066,317.19939103605066
59.62699999997858,48,01 coucou g.jpg,Fixation,Fixation,492.4233,552.0159,492.4233,552.0159,22,59.62699999997858,19.994000000006054,60.0,69.08173377497965,69.08173377497965,69.08173377497965
79.62099999998463,48,01 coucou g.jpg,Fixation,Fixation,492.3713,552.9954,492.3713,552.9954,22,79.62099999998463,19.880999999993943,80.0,159.11229175771416,159.11229175771416,159.11229175771416
99.50199999997858,48,01 coucou g.jpg,Fixation,Fixation,491.0667,552.7784,491.0667,552.7784,22,99.50199999997858,19.876000000018397,100.0,44.15569588010026,44.15569588010026,44.15569588010026
119.37799999999696,48,01 coucou g.jpg,Fixation,Fixation,490.5432,555.6825,490.5432,555.6825,22,119.37799999999696,19.9890000000014,120.0,161.48101090928532,161.48101090928532,161.48101090928532
139.36699999999837,48,01 coucou g.jpg,Fixation,Fixation,489.8641,561.3525,489.8641,561.3525,22,139.36699999999837,19.880999999993943,140.0,243.21103606557642,243.21103606557642,243.21103606557642
159.24799999999232,48,01 coucou g.jpg,Fixation,Fixation,486.3239,559.5856,486.3239,559.5856,22,159.24799999999232,19.869999999995343,160.0,51.16120177816561,51.16120177816561,51.16120177816561
179.11799999998766,48,01 coucou g.jpg,Fixation,Fixation,485.9052,559.7705,485.9052,559.7705,22,179.11799999998766,20.010000000009317,180.0,150.56018341861144,150.56018341861144,150.56018341861144
199.12799999999697,48,01 coucou g.jpg,Fixation,Fixation,487.1202,557.7878,487.1202,557.7878,22,199.12799999999697,19.870999999984637,200.0,43.38228687588669,43.38228687588669,43.38228687588669
218.9989999999816,48,01 coucou g.jpg,Fixation,Fixation,486.329,556.0158,486.329,556.0158,22,218.9989999999816,19.875,220.0,126.4700415969618,126.4700415969618,126.4700415969618
238.8739999999816,48,01 coucou g.jpg,Fixation,Fixation,486.6897,549.0321,486.6897,549.0321,22,238.8739999999816,20.01699999999255,240.0,36.092533860793154,36.092533860793154,36.092533860793154
258.89099999997416,48,01 coucou g.jpg,Fixation,Fixation,488.3451,555.3961,488.3451,555.3961,22,258.89099999997416,19.884000000020023,260.0,199.16052229772066,199.16052229772066,199.16052229772066
278.7749999999942,48,01 coucou g.jpg,Saccade,Saccade,487.1053,554.1619,487.1053,554.1619,22,278.7749999999942,19.88399999999092,280.0,63.63577040747203,63.63577040747203,63.63577040747203
298.6589999999851,48,01 coucou g.jpg,Fixation,Fixation,626.2549,346.999,626.2549,346.999,22,298.6589999999851,19.84299999999348,300.0,200.17847841890608,200.17847841890608,200.17847841890608
318.5019999999786,48,01 coucou g.jpg,Fixation,Fixation,636.3181,311.7222,636.3181,311.7222,22,318.5019999999786,19.99100000000908,320.0,193.4250105846624,193.4250105846624,193.4250105846624
338.49299999998766,48,01 coucou g.jpg,Fixation,Fixation,638.2715,274.6843,638.2715,274.6843,22,338.49299999998766,19.86699999999837,340.0,172.7853111801387,172.7853111801387,172.7853111801387
358.35999999998603,48,01 coucou g.jpg,Fixation,Fixation,638.7556,279.2275,638.7556,279.2275,22,358.35999999998603,19.87599999998929,360.0,220.36078547737205,220.36078547737205,220.36078547737205
378.2359999999753,48,01 coucou g.jpg,Fixation,Fixation,634.2662,278.6199,634.2662,278.6199,22,378.2359999999753,20.00800000000163,380.0,162.49378717020443,162.49378717020443,162.49378717020443
398.24399999997695,48,01 coucou g.jpg,Fixation,Fixation,632.9221,296.3248,632.9221,296.3248,22,398.24399999997695,19.879000000015367,400.0,184.43165454876657,184.43165454876657,184.43165454876657
418.1229999999923,48,01 coucou g.jpg,Fixation,Fixation,635.6265,291.2664,635.6265,291.2664,22,418.1229999999923,19.877999999996973,420.0,153.31026314141843,153.31026314141843,153.31026314141843
438.0009999999893,48,01 coucou g.jpg,Fixation,Fixation,633.5824,274.6209,633.5824,274.6209,22,438.0009999999893,19.981999999989057,440.0,186.363515112053,186.363515112053,186.363515112053
457.9829999999784,48,01 coucou g.jpg,Fixation,Fixation,629.0596,280.8315,629.0596,280.8315,22,457.9829999999784,19.879000000015367,460.0,162.27678004622658,162.27678004622658,162.27678004622658
477.8619999999937,48,01 coucou g.jpg,Fixation,Fixation,629.9996,286.2792,629.9996,286.2792,22,477.8619999999937,19.88199999998324,480.0,166.0669364038134,166.0669364038134,166.0669364038134
497.74399999997695,48,01 coucou g.jpg,Fixation,Fixation,628.1206,292.3123,628.1206,292.3123,22,497.74399999997695,19.988000000012107,500.0,112.92685586478996,112.92685586478996,112.92685586478996
517.7319999999891,48,01 coucou g.jpg,Fixation,Fixation,626.039,301.095,626.039,301.095,22,517.7319999999891,19.88200000001234,520.0,99.2416582789936,99.2416582789936,99.2416582789936
537.6140000000014,48,01 coucou g.jpg,Fixation,Fixation,628.1653,294.954,628.1653,294.954,22,537.6140000000014,19.86799999998766,540.0,76.79855376905256,76.79855376905256,76.79855376905256
557.4819999999891,48,01 coucou g.jpg,Fixation,Fixation,628.1658,303.9906,628.1658,303.9906,22,557.4819999999891,19.871000000013737,560.0,61.31189714713367,61.31189714713367,61.31189714713367
577.3530000000028,48,01 coucou g.jpg,Fixation,Fixation,627.9077,301.0179,627.9077,301.0179,22,577.3530000000028,20.013999999995576,580.0,66.62897032532278,66.62897032532278,66.62897032532278
597.3669999999984,48,01 coucou g.jpg,Fixation,Fixation,627.9073,310.7992,627.9073,310.7992,22,597.3669999999984,19.86799999998766,600.0,59.31883576308245,59.31883576308245,59.31883576308245
617.234999999986,48,01 coucou g.jpg,Fixation,Fixation,627.3713,312.6354,627.3713,312.6354,22,617.234999999986,19.86699999999837,620.0,43.9899766576955,43.9899766576955,43.9899766576955
637.1019999999844,48,01 coucou g.jpg,Fixation,Fixation,625.4241,311.6165,625.4241,311.6165,22,637.1019999999844,20.00800000000163,640.0,29.258483697317253,29.258483697317253,29.258483697317253
657.109999999986,48,01 coucou g.jpg,Fixation,Fixation,627.9691,318.4617,627.9691,318.4617,22,657.109999999986,19.868000000016764,660.0,39.69003136984027,39.69003136984027,39.69003136984027
676.9780000000028,48,01 coucou g.jpg,Fixation,Fixation,628.7001,314.6622,628.7001,314.6622,22,676.9780000000028,19.870999999984637,680.0,32.79896033036807,32.79896033036807,32.79896033036807
696.8489999999874,48,01 coucou g.jpg,Fixation,Fixation,624.1626,316.3572,624.1626,316.3572,22,696.8489999999874,20.004000000015367,700.0,99.77658324968661,99.77658324968661,99.77658324968661
716.8530000000028,48,01 coucou g.jpg,Fixation,Fixation,625.9681,314.897,625.9681,314.897,22,716.8530000000028,19.87299999999232,720.0,74.26829292345514,74.26829292345514,74.26829292345514
736.7259999999951,48,01 coucou g.jpg,Fixation,Fixation,625.2149,316.5384,625.2149,316.5384,22,736.7259999999951,19.877000000007683,740.0,140.67436555146932,140.67436555146932,140.67436555146932
756.6030000000028,48,01 coucou g.jpg,Fixation,Fixation,625.7017,317.3507,625.7017,317.3507,22,756.6030000000028,19.996999999973923,760.0,55.38198868290769,55.38198868290769,55.38198868290769
776.5999999999767,48,01 coucou g.jpg,Fixation,Fixation,628.1896,317.197,628.1896,317.197,22,776.5999999999767,19.885999999998603,780.0,126.72012390506721,126.72012390506721,126.72012390506721
796.4859999999753,48,01 coucou g.jpg,Fixation,Fixation,625.0186,318.4521,625.0186,318.4521,22,796.4859999999753,19.872000000003027,800.0,139.7736678055014,139.7736678055014,139.7736678055014
816.3579999999783,48,01 coucou g.jpg,Fixation,Fixation,625.5026,323.3035,625.5026,323.3035,22,816.3579999999783,19.85700000001816,820.0,146.5550539760948,146.5550539760948,146.5550539760948
836.2149999999965,48,01 coucou g.jpg,Fixation,Fixation,626.62,328.7426,626.62,328.7426,22,836.2149999999965,20.01799999998184,840.0,143.96492395149224,143.96492395149224,143.96492395149224
856.2329999999783,48,01 coucou g.jpg,Fixation,Fixation,627.1271,338.5143,627.1271,338.5143,22,856.2329999999783,19.86600000000908,860.0,148.3150169512774,148.3150169512774,148.3150169512774
876.0989999999874,48,01 coucou g.jpg,Fixation,Fixation,627.0401,343.8354,627.0401,343.8354,22,876.0989999999874,19.87299999999232,880.0,133.14929243079445,133.14929243079445,133.14929243079445
895.9719999999797,48,01 coucou g.jpg,Fixation,Fixation,626.6142,339.8053,626.6142,339.8053,22,895.9719999999797,20.010999999998603,900.0,82.439142008864,82.439142008864,82.439142008864
915.9829999999783,48,01 coucou g.jpg,Fixation,Fixation,630.1359,349.0874,630.1359,349.0874,22,915.9829999999783,19.863000000012107,920.0,177.04081053709933,177.04081053709933,177.04081053709933
935.8459999999905,48,01 coucou g.jpg,Fixation,Fixation,628.9975,351.6935,628.9975,351.6935,22,935.8459999999905,19.880000000004657,940.0,108.66637491620884,108.66637491620884,108.66637491620884
955.7259999999952,48,01 coucou g.jpg,Fixation,Fixation,629.8491,353.7685,629.8491,353.7685,22,955.7259999999952,19.994000000006054,960.0,159.10586300704435,159.10586300704435,159.10586300704435
975.7200000000012,48,01 coucou g.jpg,Fixation,Fixation,630.3775,354.5936,630.3775,354.5936,22,975.7200000000012,19.885999999998603,980.0,96.9827717181668,96.9827717181668,96.9827717181668
995.6059999999998,48,01 coucou g.jpg,Fixation,Fixation,630.4002,352.4709,630.4002,352.4709,22,995.6059999999998,19.875,1000.0,129.2657895282141,129.2657895282141,129.2657895282141
1015.4809999999998,48,01 coucou g.jpg,Fixation,Fixation,630.7947,356.6185,630.7947,356.6185,22,1015.4809999999998,19.9890000000014,1020.0,158.6104097373414,158.6104097373414,158.6104097373414
1035.4700000000012,48,01 coucou g.jpg,Fixation,Fixation,632.0732,359.5536,632.0732,359.5536,22,1035.4700000000012,19.88300000000163,1040.0,132.62117194248043,132.62117194248043,132.62117194248043
1055.3530000000028,48,01 coucou g.jpg,Fixation,Fixation,630.8244,357.4974,630.8244,357.4974,22,1055.3530000000028,19.864999999990687,1060.0,137.04391770545993,137.04391770545993,137.04391770545993
1075.2179999999937,48,01 coucou g.jpg,Fixation,Fixation,629.748,356.2269,629.748,356.2269,22,1075.2179999999937,19.885000000009317,1080.0,168.93234980085307,168.93234980085307,168.93234980085307
1095.1030000000028,48,01 coucou g.jpg,Fixation,Fixation,629.7198,353.6817,629.7198,353.6817,22,1095.1030000000028,20.002999999996973,1100.0,158.94522251495212,158.94522251495212,158.94522251495212
1115.1059999999998,48,01 coucou g.jpg,Fixation,Fixation,627.8379,359.9735,627.8379,359.9735,22,1115.1059999999998,19.85999999998603,1120.0,143.44076478832739,143.44076478832739,143.44076478832739
1134.9659999999858,48,01 coucou g.jpg,Fixation,Fixation,625.4918,356.5993,625.4918,356.5993,22,1134.9659999999858,19.877000000007683,1140.0,206.4672812155752,206.4672812155752,206.4672812155752
1154.8429999999937,48,01 coucou g.jpg,Fixation,Fixation,628.2268,359.892,628.2268,359.892,22,1154.8429999999937,19.998999999981606,1160.0,121.33551081308178,121.33551081308178,121.33551081308178
1174.841999999975,48,01 coucou g.jpg,Fixation,Fixation,630.5665,357.5963,630.5665,357.5963,22,1174.841999999975,19.871000000013737,1180.0,205.99517845453047,205.99517845453047,205.99517845453047
1194.7129999999888,48,01 coucou g.jpg,Fixation,Fixation,628.6361,351.781,628.6361,351.781,22,1194.7129999999888,19.886999999987893,1200.0,140.60495844746023,140.60495844746023,140.60495844746023
1214.5999999999767,48,01 coucou g.jpg,Saccade,Saccade,625.1292,347.0697,625.1292,347.0697,22,1214.5999999999767,19.994000000006054,1220.0,177.5383256052411,177.5383256052411,177.5383256052411
1234.5939999999828,48,01 coucou g.jpg,Fixation,Fixation,623.4896,349.3057,623.4896,349.3057,22,1234.5939999999828,19.880000000004657,1240.0,206.12660738102673,206.12660738102673,206.12660738102673
1254.4739999999874,48,01 coucou g.jpg,Fixation,Fixation,627.4119,345.2362,627.4119,345.2362,22,1254.4739999999874,19.8640000000014,1260.0,173.12183827676503,173.12183827676503,173.12183827676503
1274.3379999999888,48,01 coucou g.jpg,Fixation,Fixation,626.3204,348.5086,626.3204,348.5086,22,1274.3379999999888,20.010000000009317,1280.0,163.29609693239286,163.29609693239286,163.29609693239286
1294.347999999998,48,01 coucou g.jpg,Fixation,Fixation,628.5024,345.436,628.5024,345.436,22,1294.347999999998,19.872000000003027,1300.0,142.393391009328,142.393391009328,142.393391009328
1314.2200000000012,48,01 coucou g.jpg,Fixation,Fixation,628.1498,349.1888,628.1498,349.1888,22,1314.2200000000012,19.870999999984637,1320.0,142.8315759588733,142.8315759588733,142.8315759588733
1334.0909999999858,48,01 coucou g.jpg,Saccade,Saccade,626.5307,344.5895,626.5307,344.5895,22,1334.0909999999858,19.879000000015367,1340.0,111.43807054249744,111.43807054249744,111.43807054249744
1353.9700000000012,48,01 coucou g.jpg,Saccade,Saccade,801.0342,339.7419,801.0342,339.7419,22,1353.9700000000012,19.998999999981606,1360.0,387.61814770444437,387.61814770444437,387.61814770444437
1373.9689999999828,48,01 coucou g.jpg,Fixation,Fixation,950.0441,338.8185,950.0441,338.8185,22,1373.9689999999828,19.8640000000014,1380.0,456.39701703430404,456.39701703430404,456.39701703430404
1393.8329999999842,48,01 coucou g.jpg,Fixation,Fixation,944.0842,338.6732,944.0842,338.6732,22,1393.8329999999842,19.888999999995576,1400.0,522.7905344121547,522.7905344121547,522.7905344121547
1413.7219999999795,48,01 coucou g.jpg,Fixation,Fixation,948.4185,337.9345,948.4185,337.9345,22,1413.7219999999795,19.996000000013737,1420.0,409.5895092295048,409.5895092295048,409.5895092295048
1433.7179999999937,48,01 coucou g.jpg,Fixation,Fixation,948.9085,339.339,948.9085,339.339,22,1433.7179999999937,19.869999999995343,1440.0,413.2279626713497,413.2279626713497,413.2279626713497
1453.5879999999888,48,01 coucou g.jpg,Fixation,Fixation,951.0542,336.8168,951.0542,336.8168,22,1453.5879999999888,19.880000000004657,1460.0,414.9509802903949,414.9509802903949,414.9509802903949
