RecordingTime [ms],Participant,Stimulus,Category Right,Category Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Experiment,RecordingTime Stimulus [ms],Duration,SnappedTime,Gaze Deviation Right,Gaze Deviation Left,Overall Gaze Deviation
0.0,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,0.0,44.01199999998789,0.0,0.0,0.0,0.0
44.01199999998789,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,44.01199999998789,43.98600000000442,40.0,0.0,0.0,0.0
87.99799999999232,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,87.99799999999232,44.12599999998929,80.0,0.0,0.0,0.0
132.1239999999816,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,132.1239999999816,43.99900000001071,140.0,0.0,0.0,0.0
176.12299999999232,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,176.12299999999232,44.00099999998929,180.0,0.0,0.0,0.0
220.1239999999816,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,220.1239999999816,44.13000000000466,220.0,0.0,0.0,0.0
264.25399999998626,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,264.25399999998626,43.98999999999069,260.0,0.0,0.0,0.0
308.2439999999769,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,308.2439999999769,44.00200000000768,300.0,0.0,0.0,0.0
352.24599999998463,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,352.24599999998463,44.125,360.0,0.0,0.0,0.0
396.37099999998463,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,396.37099999998463,44.00200000000768,400.0,0.0,0.0,0.0
440.3729999999923,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,440.3729999999923,43.99700000000303,440.0,0.0,0.0,0.0
484.36999999999534,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,484.36999999999534,44.13300000000163,480.0,0.0,0.0,0.0
528.502999999997,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,528.502999999997,44.00299999999697,520.0,0.0,0.0,0.0
572.505999999994,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,572.505999999994,190.42600000000675,580.0,0.0,0.0,0.0
762.9320000000007,1,Federica Final_WMV_3000Kbps_720p.avi,Blink,Blink,0.0,0.0,0.0,0.0,12,762.9320000000007,19.87299999999232,760.0,0.0,0.0,0.0
