RecordingTime [ms],Participant,Stimulus,Category Right,Category Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Experiment,RecordingTime Stimulus [ms],Duration,SnappedTime,Gaze Deviation Right,Gaze Deviation Left,Overall Gaze Deviation
0.0,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,0.0,44.12100000004284,0.0,0.0,0.0,0.0
44.12100000004284,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,44.12100000004284,44.02100000000792,40.0,0.0,0.0,0.0
88.14200000005076,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,88.14200000005076,43.97999999998137,80.0,0.0,0.0,0.0
132.12200000003213,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,132.12200000003213,44.12199999997392,140.0,0.0,0.0,0.0
176.24400000000605,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,176.24400000000605,44.0120000000461,180.0,0.0,0.0,0.0
220.25600000005213,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,220.25600000005213,43.99099999997998,220.0,0.0,0.0,0.0
264.24700000003213,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,264.24700000003213,44.11900000000605,260.0,0.0,0.0,0.0
308.3660000000382,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,308.3660000000382,44.023999999975786,300.0,0.0,0.0,0.0
352.390000000014,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,352.390000000014,43.98300000000745,360.0,0.0,0.0,0.0
396.3730000000214,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,396.3730000000214,44.11800000001677,400.0,0.0,0.0,0.0
440.4910000000382,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,440.4910000000382,43.99499999999534,440.0,0.0,0.0,0.0
484.4860000000335,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,484.4860000000335,44.007999999972526,480.0,0.0,0.0,0.0
528.494000000006,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,528.494000000006,44.12200000003213,520.0,0.0,0.0,0.0
572.6160000000382,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,572.6160000000382,43.98999999999069,580.0,0.0,0.0,0.0
616.6060000000289,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,616.6060000000289,44.01000000000931,620.0,0.0,0.0,0.0
660.6160000000382,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,660.6160000000382,44.12599999998929,660.0,0.0,0.0,0.0
704.7420000000275,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,704.7420000000275,43.99199999996927,700.0,0.0,0.0,0.0
748.7339999999967,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,748.7339999999967,44.008000000030734,740.0,0.0,0.0,0.0
792.7420000000275,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,792.7420000000275,44.12099999998463,800.0,0.0,0.0,0.0
836.8630000000121,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,836.8630000000121,43.99300000001677,840.0,0.0,0.0,0.0
880.8560000000289,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,880.8560000000289,44.005999999993946,880.0,0.0,0.0,0.0
924.8620000000228,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,924.8620000000228,44.125,920.0,0.0,0.0,0.0
968.9870000000228,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,968.9870000000228,43.992000000027474,960.0,0.0,0.0,0.0
1012.9790000000504,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,1012.9790000000504,44.00399999995716,1020.0,0.0,0.0,0.0
1056.9830000000077,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,1056.9830000000077,44.11900000000605,1060.0,0.0,0.0,0.0
1101.1020000000135,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,1101.1020000000135,44.00200000003679,1100.0,0.0,0.0,0.0
1145.1040000000503,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,1145.1040000000503,156.17699999996694,1140.0,0.0,0.0,0.0
1301.2810000000172,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,1301.2810000000172,143.44099999999162,1300.0,0.0,0.0,0.0
1444.7220000000088,37,01 neutre3.avi,Blink,Blink,0.0,0.0,0.0,0.0,15,1444.7220000000088,154.4320000000298,1440.0,0.0,0.0,0.0
1599.1540000000386,37,01 neutre3.avi,Fixation,Fixation,595.1236,625.9308,595.1236,625.9308,15,1599.1540000000386,19.864999999990687,1600.0,0.0,0.0,0.0
1619.019000000029,37,01 neutre3.avi,Fixation,Fixation,596.7557,619.7172,596.7557,619.7172,15,1619.019000000029,19.995999999984637,1620.0,0.0,0.0,0.0
1639.015000000014,37,01 neutre3.avi,Fixation,Fixation,617.5409,618.1727,617.5409,618.1727,15,1639.015000000014,19.886999999987893,1640.0,0.0,0.0,0.0
1658.902000000002,37,01 neutre3.avi,Fixation,Fixation,614.9799,614.8195,614.9799,614.8195,15,1658.902000000002,19.861000000033528,1660.0,0.0,0.0,0.0
1678.7630000000354,37,01 neutre3.avi,Fixation,Fixation,618.7148,611.2957,618.7148,611.2957,15,1678.7630000000354,20.038999999989755,1680.0,0.0,0.0,0.0
1698.8020000000251,37,01 neutre3.avi,Fixation,Fixation,616.6044,609.6466,616.6044,609.6466,15,1698.8020000000251,19.835000000020955,1700.0,0.0,0.0,0.0
1718.637000000046,37,01 neutre3.avi,Fixation,Fixation,616.6505,600.4279,616.6505,600.4279,15,1718.637000000046,19.87699999997858,1720.0,0.0,0.0,0.0
1738.514000000025,37,01 neutre3.avi,Fixation,Fixation,606.8697,599.9105,606.8697,599.9105,15,1738.514000000025,19.902999999991152,1740.0,0.0,0.0,0.0
1758.4170000000158,37,01 neutre3.avi,Fixation,Fixation,617.9482,605.5423,617.9482,605.5423,15,1758.4170000000158,19.972000000008848,1760.0,0.0,0.0,0.0
1778.389000000025,37,01 neutre3.avi,Fixation,Fixation,619.3159,601.4497,619.3159,601.4497,15,1778.389000000025,19.88199999998324,1780.0,0.0,0.0,0.0
1798.271000000008,37,01 neutre3.avi,Saccade,Saccade,634.1547,580.815,634.1547,580.815,15,1798.271000000008,19.87200000003213,1800.0,0.0,0.0,0.0
