RecordingTime [ms],Participant,Stimulus,Category Right,Category Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Experiment,RecordingTime Stimulus [ms],Duration,SnappedTime,Gaze Deviation Right,Gaze Deviation Left,Overall Gaze Deviation
0.0,43,NoImage,-,-,-4.2057,-9.3433,-4.2057,-9.3433,21,0.0,20.012000000104308,0.0,723.6063041719269,723.6063041719269,723.6063041719269
20.012000000104308,43,NoImage,-,-,-4.4694,-7.4829,-4.4694,-7.4829,21,20.012000000104308,19.876000000163916,20.0,813.1049784123826,813.1049784123826,813.1049784123826
39.88800000026822,43,NoImage,-,-,-5.2747,-4.5888,-5.2747,-4.5888,21,39.88800000026822,19.876999999396503,40.0,742.05961082549,742.05961082549,742.05961082549
59.76499999966472,43,NoImage,Fixation,Fixation,-3.5507,-2.2746,-3.5507,-2.2746,21,59.76499999966472,19.86600000038743,60.0,1049.4321344989542,1049.4321344989542,1049.4321344989542
79.63100000005215,43,NoImage,Fixation,Fixation,-2.3277,32.6068,-2.3277,32.6068,21,79.63100000005215,19.876000000163916,80.0,907.644335787545,907.644335787545,907.644335787545
99.50700000021608,43,NoImage,Fixation,Fixation,3.8151,0.3972,3.8151,0.3972,21,99.50700000021608,19.86199999973178,100.0,1043.6342707910942,1043.6342707910942,1043.6342707910942
119.36899999994785,43,NoImage,Fixation,Fixation,8.6631,2.6922,8.6631,2.6922,21,119.36899999994785,19.872000000439584,120.0,834.0596717891652,834.0596717891652,834.0596717891652
139.24100000038743,43,NoImage,Fixation,Fixation,3.3781,1.3376,3.3781,1.3376,21,139.24100000038743,19.88399999961257,140.0,718.7795532752242,718.7795532752242,718.7795532752242
159.125,43,NoImage,Fixation,Fixation,16.3642,39.5405,16.3642,39.5405,21,159.125,19.99199999962002,160.0,916.6311361699474,916.6311361699474,916.6311361699474
179.11699999962002,43,NoImage,Fixation,Fixation,8.3327,3.1161,8.3327,3.1161,21,179.11699999962002,19.88300000037998,180.0,802.8290257530101,802.8290257530101,802.8290257530101
199.0,43,NoImage,Saccade,Saccade,15.532,61.6965,15.532,61.6965,21,199.0,19.87299999967217,200.0,861.1962335800686,861.1962335800686,861.1962335800686
218.87299999967215,43,NoImage,Saccade,Saccade,15.0328,157.6461,15.0328,157.6461,21,218.87299999967215,19.9429999999702,220.0,692.9504343292452,692.9504343292452,692.9504343292452
238.8159999996424,43,NoImage,Saccade,Saccade,36.816,129.8027,36.816,129.8027,21,238.8159999996424,19.826000000350177,240.0,799.9136564186945,799.9136564186945,799.9136564186945
258.6419999999925,43,NoImage,Saccade,Saccade,50.3782,34.6496,50.3782,34.6496,21,258.6419999999925,19.877000000327826,260.0,574.8927268489585,574.8927268489585,574.8927268489585
278.5190000003204,43,NoImage,Saccade,Saccade,402.7882,317.6307,402.7882,317.6307,21,278.5190000003204,19.867999999783933,280.0,401.4131864097147,401.4131864097147,401.4131864097147
298.3870000001043,43,NoImage,Fixation,Fixation,519.2376,446.5998,519.2376,446.5998,21,298.3870000001043,19.86199999973178,300.0,125.05899165826241,125.05899165826241,125.05899165826241
318.2489999998361,43,NoImage,Fixation,Fixation,555.0753,443.0253,555.0753,443.0253,21,318.2489999998361,20.00300000049174,320.0,116.75421067529533,116.75421067529533,116.75421067529533
338.2520000003278,43,NoImage,Fixation,Fixation,552.226,452.5773,552.226,452.5773,21,338.2520000003278,19.87199999950826,340.0,83.24970107109715,83.24970107109715,83.24970107109715
