RecordingTime [ms],Participant,Stimulus,Category Right,Category Left,Point of Regard Right X [px],Point of Regard Right Y [px],Point of Regard Left X [px],Point of Regard Left Y [px],Experiment,RecordingTime Stimulus [ms],Duration,SnappedTime,Gaze Deviation Right,Gaze Deviation Left,Overall Gaze Deviation
0.0,59,Eye Tracking (ballon droite).avi,Separator,Separator,,,,,23,0.0,16.265999999945052,0.0,0.0,0.0,0.0
16.265999999945052,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,624.4638,338.2797,612.2916,322.8189,23,16.265999999945052,16.722999999998137,20.0,115.63764760361256,109.80125247647719,112.71945004004488
32.98899999994319,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,624.2344,338.7555,612.9496,321.7683,23,32.98899999994319,16.724000000045635,40.0,108.35850172823223,107.00903715316777,107.68376944069999
49.71299999998882,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,623.593,339.1465,612.4563,321.7946,23,49.71299999998882,16.722999999998137,,0.0,0.0,0.0
66.43599999998696,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,624.5192,339.4541,612.9951,321.6761,23,66.43599999998696,16.72399999992922,60.0,93.69380649987247,90.65141827653828,92.17261238820538
83.15999999991618,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,624.5987,340.2467,613.4647,321.9994,23,83.15999999991618,16.722999999998137,80.0,72.02667839487601,68.56676916212767,70.29672377850184
99.88299999991432,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,623.6111,341.3254,613.9417,321.6543,23,99.88299999991432,16.724000000045635,100.0,83.21854097707934,78.82490702969541,81.02172400338738
116.60699999995995,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,623.9812,341.9085,613.8163,321.8046,23,116.60699999995995,16.72399999992922,120.0,80.91109266272454,77.07952073444281,78.99530669858368
133.33099999988917,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,623.6488,341.7008,614.5105,322.4482,23,133.33099999988917,16.722999999998137,140.0,96.47136964601361,92.65606655962253,94.56371810281807
150.0539999998873,59,Eye Tracking (ballon droite).avi,Fixation,Fixation,624.4772,342.2879,614.0975,323.5415,23,150.0539999998873,16.724000000045635,,0.0,0.0,0.0
